reviewId,userName,score,content,at,company,thumbsUpCount
ps-flo-001,user_fl001,5,Templates saved our team hours when spinning up new client projects,2026-07-14T09:07:00.000Z,Flowdesk,1
ps-flo-002,user_fl002,3,Mobile Sync works for basic use but lacks polish compared to alternatives. Ticket #1002.,2026-07-13T10:14:00.000Z,Flowdesk,2
ps-flo-003,user_fl003,3,Push notifications fire twice for the same task assignment. Context: Notifications workflow on Flowdesk.,2026-07-12T11:21:00.000Z,Flowdesk,3
ps-flo-004,user_fl004,2,Project templates cannot be shared across workspaces. Context: Templates workflow on Flowdesk.,2026-07-11T12:28:00.000Z,Flowdesk,4
ps-flo-005,user_fl005,3,Cannot nest subtasks more than two levels deep. Context: Onboarding workflow on Flowdesk.,2026-07-10T13:35:00.000Z,Flowdesk,0
ps-flo-006,user_fl006,2,SSO setup docs are outdated and broke our Okta trial. Context: Permissions workflow on Flowdesk.,2026-07-09T14:42:00.000Z,Flowdesk,1
ps-flo-007,user_fl007,3,Calendar integration drops recurring meetings randomly. Context: Mobile Sync workflow on Flowdesk.,2026-07-08T15:49:00.000Z,Flowdesk,2
ps-flo-008,user_fl008,1,We are evaluating Asana because onboarding still takes a full week,2026-07-07T16:56:00.000Z,Flowdesk,3
ps-flo-009,user_fl009,2,If mobile sync is not fixed we will cancel at renewal,2026-07-06T17:03:00.000Z,Flowdesk,4
ps-flo-010,user_fl010,4,Love the clean board view — finally replaced our sticky-note chaos,2026-07-05T08:10:00.000Z,Flowdesk,0
ps-flo-011,user_fl011,5,Templates saved our team hours when spinning up new client projects,2026-07-04T09:17:00.000Z,Flowdesk,1
ps-flo-012,user_fl012,3,Mobile Sync works for basic use but lacks polish compared to alternatives. Ticket #1012.,2026-07-03T10:24:00.000Z,Flowdesk,2
ps-flo-013,user_fl013,3,Push notifications fire twice for the same task assignment. Context: Notifications workflow on Flowdesk.,2026-07-02T11:31:00.000Z,Flowdesk,3
ps-flo-014,user_fl014,2,Project templates cannot be shared across workspaces. Context: Templates workflow on Flowdesk.,2026-07-01T12:38:00.000Z,Flowdesk,4
ps-flo-015,user_fl015,3,Cannot nest subtasks more than two levels deep. Context: Onboarding workflow on Flowdesk.,2026-06-30T13:45:00.000Z,Flowdesk,0
ps-flo-016,user_fl016,2,SSO setup docs are outdated and broke our Okta trial. Context: Permissions workflow on Flowdesk.,2026-06-29T14:52:00.000Z,Flowdesk,1
ps-flo-017,user_fl017,3,Calendar integration drops recurring meetings randomly. Context: Mobile Sync workflow on Flowdesk.,2026-06-28T15:59:00.000Z,Flowdesk,2
ps-flo-018,user_fl018,1,Third escalation this month about permissions — considering Monday.com,2026-06-27T16:06:00.000Z,Flowdesk,3
ps-flo-019,user_fl019,2,Repeated complaint: guests see private threads. Escalating to our VP,2026-06-26T17:13:00.000Z,Flowdesk,4
ps-flo-020,user_fl020,4,Love the clean board view — finally replaced our sticky-note chaos,2026-06-25T08:20:00.000Z,Flowdesk,0
ps-flo-021,user_fl021,5,Templates saved our team hours when spinning up new client projects,2026-06-24T09:27:00.000Z,Flowdesk,1
ps-flo-022,user_fl022,3,Mobile Sync works for basic use but lacks polish compared to alternatives. Ticket #1022.,2026-06-23T10:34:00.000Z,Flowdesk,2
